error_event_id,error_type_id,user_id,session_id,event_id,product_id,occurred_at,message,stack_trace,http_status_code,client_info_json
1,1,23,91,1146,4,2025-01-20 11:17:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
2,1,87,362,4348,5,2025-02-22 16:18:00,Simulated 500_INTERNAL on /billing,Traceback (most recent call last): ...,500,{}
3,1,77,327,3906,1,2025-01-30 14:15:00,Simulated 500_INTERNAL on /,Traceback (most recent call last): ...,500,{}
4,3,32,130,1609,4,2025-02-13 18:05:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
5,2,68,291,3464,2,2025-01-02 20:12:00,Simulated 404_NOT_FOUND on /signup,Traceback (most recent call last): ...,200,{}
6,1,3,9,120,3,2025-02-16 12:33:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
7,3,85,359,4307,4,2025-01-17 19:13:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
8,1,29,118,1459,1,2025-02-19 09:38:00,Simulated 500_INTERNAL on /,Traceback (most recent call last): ...,500,{}
9,2,151,636,7615,3,2025-01-05 11:30:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
10,2,62,264,3182,3,2025-02-17 16:36:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
11,3,10,45,569,4,2025-01-14 15:18:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
12,1,149,627,7505,3,2025-02-23 20:30:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
13,3,21,86,1088,1,2025-01-22 19:22:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
14,3,106,441,5295,3,2025-02-22 14:07:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
15,3,82,349,4195,1,2025-01-21 11:14:00,Simulated JS_RUNTIME_ERROR on /,Traceback (most recent call last): ...,200,{}
16,3,172,714,8588,3,2025-01-16 19:20:00,Simulated JS_RUNTIME_ERROR on /dashboard,Traceback (most recent call last): ...,200,{}
17,4,132,557,6696,4,2025-01-04 13:26:00,Simulated TIMEOUT_API on /reports,Traceback (most recent call last): ...,200,{}
18,4,193,792,9390,5,2025-01-15 18:06:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
19,3,7,28,322,2,2025-02-28 20:03:00,Simulated JS_RUNTIME_ERROR on /signup,Traceback (most recent call last): ...,200,{}
20,2,38,158,1938,4,2025-01-09 08:09:00,Simulated 404_NOT_FOUND on /reports,Traceback (most recent call last): ...,200,{}
21,1,39,166,2026,2,2025-01-03 10:20:00,Simulated 500_INTERNAL on /signup,Traceback (most recent call last): ...,500,{}
22,1,44,189,2302,3,2025-02-18 11:21:00,Simulated 500_INTERNAL on /dashboard,Traceback (most recent call last): ...,500,{}
23,2,61,260,3129,2,2025-01-21 10:15:00,Simulated 404_NOT_FOUND on /signup,Traceback (most recent call last): ...,200,{}
24,3,2,7,97,4,2025-01-23 14:48:00,Simulated JS_RUNTIME_ERROR on /reports,Traceback (most recent call last): ...,200,{}
25,2,8,30,361,1,2025-02-13 19:41:00,Simulated 404_NOT_FOUND on /,Traceback (most recent call last): ...,200,{}
26,1,56,242,2908,4,2025-02-12 10:25:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
27,1,194,795,9441,4,2025-02-22 13:19:00,Simulated 500_INTERNAL on /reports,Traceback (most recent call last): ...,500,{}
28,4,67,285,3400,5,2025-01-11 21:16:00,Simulated TIMEOUT_API on /billing,Traceback (most recent call last): ...,200,{}
29,2,21,86,1085,1,2025-01-22 19:15:00,Simulated 404_NOT_FOUND on /,Traceback (most recent call last): ...,200,{}
30,3,121,513,6183,5,2025-02-12 14:40:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
31,2,194,794,9424,3,2025-02-12 08:19:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
32,2,186,758,9055,1,2025-02-11 08:34:00,Simulated 404_NOT_FOUND on /,Traceback (most recent call last): ...,200,{}
33,2,186,758,9047,3,2025-02-11 08:13:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
34,3,166,692,8298,5,2025-01-20 19:06:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
35,4,91,375,4505,2,2025-01-18 21:27:00,Simulated TIMEOUT_API on /signup,Traceback (most recent call last): ...,200,{}
36,2,9,36,440,3,2025-01-29 09:23:00,Simulated 404_NOT_FOUND on /dashboard,Traceback (most recent call last): ...,200,{}
37,3,194,794,9418,5,2025-02-12 08:09:00,Simulated JS_RUNTIME_ERROR on /billing,Traceback (most recent call last): ...,200,{}
